Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,82.40,82.40,81.80,82.30,210400,82.30
2017-01-19,82.80,82.80,81.90,82.40,230600,82.40
2017-01-18,82.50,82.80,82.30,82.50,195900,82.50
2017-01-17,82.50,83.20,82.30,82.90,179300,82.90
2017-01-16,84.50,84.50,82.40,82.50,451800,82.50
2017-01-13,84.10,85.00,84.10,84.30,101200,84.30
2017-01-12,85.00,85.00,84.10,84.10,209000,84.10
2017-01-11,86.20,86.30,84.30,84.40,416800,84.40
2017-01-10,86.50,86.60,85.30,85.70,250500,85.70
2017-01-09,88.50,88.80,86.10,86.20,466200,86.20
2017-01-06,90.00,90.30,88.30,88.30,581200,88.30
2017-01-05,86.80,89.40,86.40,89.40,850200,89.40
2017-01-04,85.80,86.30,85.80,86.00,109400,86.00
2017-01-03,85.80,86.80,85.30,85.50,123500,85.50
2017-01-02,86.00,86.00,86.00,86.00,000,86.00
2016-12-30,86.50,86.50,85.50,86.00,101600,86.00
2016-12-29,85.80,86.50,85.30,85.80,98800,85.80
2016-12-28,86.00,86.50,85.70,86.00,70800,86.00
2016-12-27,85.50,86.40,85.50,85.50,83500,85.50
2016-12-26,86.90,87.00,85.30,85.60,138300,85.60
2016-12-23,87.60,87.60,85.80,86.00,218000,86.00
2016-12-22,87.90,87.90,86.80,87.10,115100,87.10
2016-12-21,87.90,88.00,87.50,87.50,102100,87.50
2016-12-20,88.00,88.20,87.00,87.90,285800,87.90
2016-12-19,86.90,87.80,86.60,86.80,181200,86.80
2016-12-16,88.10,88.40,87.20,87.30,293900,87.30
2016-12-15,87.20,88.20,87.00,87.80,243200,87.80
2016-12-14,87.50,87.60,85.60,87.30,249500,87.30
2016-12-13,87.00,87.00,85.20,86.60,290700,86.60
2016-12-12,87.50,87.90,86.40,87.00,178900,87.00
2016-12-09,87.30,88.50,87.00,87.30,403400,87.30
2016-12-08,88.20,88.40,86.70,86.70,466100,86.70
2016-12-07,87.80,88.70,87.20,87.80,684100,87.80
2016-12-06,87.90,88.10,86.90,87.80,407500,87.80
2016-12-05,88.30,88.30,86.60,87.30,213200,87.30
2016-12-02,86.90,88.60,85.90,87.30,588000,87.30
2016-12-01,84.30,87.60,84.30,87.00,1187100,87.00
2016-11-30,83.70,84.60,83.70,84.10,430600,84.10
2016-11-29,83.80,84.10,83.30,83.70,241400,83.70
2016-11-28,83.30,83.60,82.70,83.50,243200,83.50
2016-11-25,83.00,83.40,82.20,82.20,190000,82.20
2016-11-24,82.60,83.00,82.10,82.40,159700,82.40
2016-11-23,83.30,83.50,82.50,82.50,296400,82.50
2016-11-22,83.10,84.30,82.80,83.20,347100,83.20
2016-11-21,82.50,82.90,82.00,82.50,160300,82.50
2016-11-18,81.30,82.60,80.50,82.50,500000,82.50
2016-11-17,81.00,81.20,80.20,81.20,212800,81.20
2016-11-16,79.50,81.20,79.30,81.20,413200,81.20
2016-11-15,79.80,80.70,79.20,79.20,293100,79.20
2016-11-14,81.80,81.80,79.00,79.80,789000,79.80
2016-11-11,84.00,84.50,82.30,83.30,535800,83.30
2016-11-10,83.00,85.00,83.00,84.50,1010900,84.50
2016-11-09,83.40,83.60,79.50,80.90,775100,80.90
2016-11-08,83.50,84.60,82.50,83.00,1108800,83.00
2016-11-07,79.00,79.00,75.90,78.50,879600,78.50
2016-11-04,78.60,79.50,78.00,78.00,310600,78.00
2016-11-03,79.50,79.70,77.80,78.60,556600,78.60
2016-11-02,81.90,81.90,79.60,79.60,715100,79.60
2016-11-01,82.20,82.20,81.20,81.60,157500,81.60
2016-10-31,80.90,82.00,80.60,82.00,283300,82.00
2016-10-28,83.20,83.20,81.30,81.40,433900,81.40
2016-10-27,83.90,83.90,82.80,82.80,299300,82.80
2016-10-26,83.50,83.80,83.10,83.20,155600,83.20
2016-10-25,83.60,84.10,82.70,83.50,437000,83.50
2016-10-24,83.90,83.90,83.30,83.60,142300,83.60
2016-10-21,82.60,84.80,82.60,83.90,306200,83.90
2016-10-20,82.70,83.00,82.30,82.60,231900,82.60
2016-10-19,84.20,84.20,82.30,82.40,276200,82.40
2016-10-18,82.30,83.00,82.00,82.70,338100,82.70
2016-10-17,83.50,84.00,82.00,82.30,486700,82.30
2016-10-14,85.00,85.40,82.90,83.40,668900,83.40
2016-10-13,86.00,86.50,85.00,85.10,329000,85.10
2016-10-12,85.10,86.20,85.10,86.00,474200,86.00
2016-10-11,88.10,88.50,85.00,85.10,1012300,85.10
2016-10-10,88.30,88.30,88.30,88.30,000,88.30
2016-10-07,90.50,90.50,88.30,88.30,1442600,88.30
2016-10-06,92.60,92.60,91.50,92.00,206900,92.00
2016-10-05,92.80,92.80,91.90,91.90,202900,91.90
2016-10-04,91.50,93.20,91.50,92.90,418000,92.90
2016-10-03,91.70,91.90,91.10,91.40,196700,91.40
2016-09-30,91.90,92.30,91.50,91.50,234400,91.50
2016-09-29,93.10,93.60,92.20,92.20,182600,92.20
2016-09-26,93.70,94.00,92.50,92.80,189900,92.80
2016-09-23,93.00,93.70,92.70,93.70,298300,93.70
2016-09-22,93.40,93.40,92.40,92.60,176500,92.60
2016-09-21,93.30,93.40,92.20,92.40,273200,92.40
2016-09-20,93.50,94.00,92.70,92.70,831100,92.70
2016-09-19,90.10,93.10,89.50,92.70,639800,92.70
2016-09-16,89.50,89.50,89.50,89.50,000,89.50
2016-09-15,89.50,89.50,89.50,89.50,000,89.50
2016-09-14,89.40,90.00,89.00,89.50,478000,89.50
2016-09-13,92.00,92.00,89.30,89.70,554100,89.70
2016-09-12,92.60,92.60,91.00,91.00,246200,91.00
2016-09-09,93.40,93.60,92.20,92.40,321200,92.40
2016-09-08,92.00,94.10,92.00,93.40,401500,93.40
2016-09-07,92.30,92.90,92.00,92.00,371600,92.00
2016-09-06,91.80,92.70,91.30,91.50,310100,91.50
2016-09-05,91.60,92.70,90.60,91.60,340300,91.60
2016-09-02,93.50,93.50,90.70,90.80,597300,90.80
2016-09-01,94.40,94.40,92.90,92.90,386200,92.90
2016-08-31,93.70,95.60,93.50,93.70,1443200,93.70
2016-08-30,92.40,92.40,90.70,92.30,544900,92.30
2016-08-29,91.80,92.30,90.80,91.10,328400,91.10
2016-08-26,93.30,93.40,91.80,91.80,549200,91.80
2016-08-25,91.80,93.90,91.80,93.10,1012300,93.10
2016-08-24,101.00,101.50,100.00,91.00,875600,82.4132
2016-08-23,99.5358,101.0364,99.5358,101.0364,507500,91.5025
2016-08-22,103.0371,103.0371,99.6359,99.7359,975200,90.3248
2016-08-19,102.0367,102.5369,101.0364,102.0367,359100,92.4085
2016-08-18,102.5369,103.0371,100.5362,101.5365,571400,91.9555
2016-08-17,100.5362,103.5373,100.5362,103.0371,670600,93.3144
2016-08-16,102.5369,103.0371,100.036,100.5362,532500,91.0495
2016-08-15,102.5369,103.0371,101.0364,102.0367,366100,92.4085
2016-08-12,99.8359,102.0367,99.6359,101.0364,437400,91.5025
2016-08-11,102.0367,102.0367,100.036,100.036,552600,90.5965
2016-08-10,101.0364,102.0367,100.036,101.5365,412300,91.9555
2016-08-09,104.00,105.00,99.90,101.00,1093900,91.4696
2016-08-08,104.50,105.50,103.00,103.00,553800,93.2809
2016-08-05,104.50,104.50,103.50,104.00,347600,94.1865
2016-08-04,103.50,104.00,103.00,104.00,377200,94.1865
2016-08-03,102.00,103.00,101.50,102.50,374400,92.828
2016-08-02,103.50,103.50,101.50,102.00,651300,92.3752
2016-08-01,108.15,108.675,107.625,107.625,795100,97.4694
2016-07-29,108.675,109.725,107.10,109.20,1100600,98.8958
2016-07-28,111.825,111.825,108.675,109.20,615900,98.8958
2016-07-27,109.20,112.875,109.20,111.30,1054100,100.7977
2016-07-26,110.25,110.25,108.675,108.675,447200,98.4204
2016-07-25,110.775,111.825,109.725,110.25,359300,99.8467
2016-07-22,109.725,110.25,109.20,110.25,205100,99.8467
2016-07-21,110.25,110.25,108.675,109.725,351800,99.3713
2016-07-20,109.725,110.775,108.15,108.675,569600,98.4204
2016-07-19,111.30,111.30,108.675,108.675,696400,98.4204
2016-07-18,113.925,113.925,110.775,110.775,765400,100.3222
2016-07-15,113.925,115.50,112.875,113.40,699300,102.6995
2016-07-14,111.30,114.975,111.30,114.975,1611600,104.1259
2016-07-13,109.20,110.25,108.675,110.25,292700,99.8467
2016-07-12,110.25,110.775,108.675,108.675,373000,98.4204
2016-07-11,110.25,110.775,108.15,108.675,352600,98.4204
2016-07-07,109.20,110.25,108.675,108.675,507000,98.4204
2016-07-06,110.775,111.30,109.20,109.20,465000,98.8958
2016-07-05,112.35,113.40,111.30,111.825,599100,101.2731
2016-07-04,110.25,114.45,109.725,112.35,1395900,101.7486
2016-07-01,110.25,110.775,109.20,110.25,427100,99.8467
2016-06-30,111.30,111.30,109.20,110.775,509700,100.3222
2016-06-29,108.675,112.35,108.15,110.25,1160500,99.8467
2016-06-28,104.685,107.625,103.95,107.625,707100,97.4694
2016-06-27,103.11,106.575,103.11,105.00,599500,95.0921
2016-06-24,108.15,108.675,102.48,104.685,1091000,94.8069
2016-06-23,109.20,109.725,107.625,107.625,394600,97.4694
2016-06-22,107.625,109.20,107.625,108.675,408400,98.4204
2016-06-21,106.575,108.15,106.05,107.625,508300,97.4694
2016-06-20,106.575,107.10,105.525,106.05,490700,96.0431
2016-06-17,106.575,107.10,105.525,105.525,449100,95.5676
2016-06-16,107.10,107.625,105.00,106.05,573300,96.0431
2016-06-15,106.575,109.20,106.575,107.625,654200,97.4694
2016-06-14,107.10,107.625,106.05,106.05,556300,96.0431
2016-06-13,108.15,109.20,106.05,107.10,501100,96.994
2016-06-10,110.25,110.25,110.25,110.25,000,99.8467
2016-06-09,110.25,110.25,110.25,110.25,000,99.8467
2016-06-08,108.15,111.825,108.15,110.25,733900,99.8467
2016-06-07,111.825,111.825,111.825,111.825,000,101.2731
2016-06-06,111.30,112.875,110.775,111.825,273300,101.2731
2016-06-03,112.35,113.925,111.30,111.825,470200,101.2731
2016-06-02,115.50,115.50,111.30,111.30,736500,100.7977
2016-06-01,112.35,114.45,111.825,113.925,757900,103.175
2016-05-31,112.875,112.875,110.25,111.825,583300,101.2731
2016-05-30,112.875,114.45,111.30,111.30,1065700,100.7977
2016-05-27,109.725,111.825,109.20,111.30,884200,100.7977
2016-05-26,108.15,111.825,108.15,109.20,934800,98.8958
2016-05-25,109.20,109.725,107.625,108.15,660500,97.9449
2016-05-24,105.525,109.20,104.79,107.625,893300,97.4694
2016-05-23,103.95,107.10,102.90,106.05,949100,96.0431
2016-05-20,103.11,103.95,102.585,102.69,257800,93.0001
2016-05-19,106.575,106.575,102.90,103.11,351700,93.3805
2016-05-18,105.525,107.10,104.475,105.00,244100,95.0921
2016-05-17,105.525,107.10,104.58,106.575,453600,96.5185
2016-05-16,105.00,106.05,103.005,103.95,357000,94.1412
2016-05-13,101.85,106.05,101.85,105.00,782900,95.0921
2016-05-12,103.11,106.05,100.485,102.06,815500,92.4296
2016-05-11,107.10,108.675,104.79,105.00,675100,95.0921
2016-05-10,103.425,107.10,102.69,107.10,1006800,96.994
2016-05-09,103.95,105.525,102.06,103.425,2531900,93.6658
2016-05-06,110.775,110.775,107.625,108.15,837200,97.9449
2016-05-05,116.025,117.075,106.05,111.30,3210400,100.7977
2016-05-04,117.075,118.125,115.50,116.55,756400,105.5523
2016-05-03,116.025,118.125,115.50,117.075,846400,106.0277
2016-05-02,115.50,115.50,115.50,115.50,000,104.6014
2016-04-29,117.60,117.60,114.975,115.50,1046700,104.6014
2016-04-28,119.175,119.175,117.075,117.60,1033900,106.5032
2016-04-27,120.75,121.275,118.125,118.125,1154100,106.9787
2016-04-26,120.225,122.325,119.175,119.70,1035700,108.405
2016-04-25,120.75,121.80,118.125,119.175,1027300,107.9296
2016-04-22,124.95,127.05,120.75,121.275,2621100,109.8314
2016-04-21,130.20,131.775,125.475,127.05,5015600,115.0615
2016-04-20,122.85,129.15,122.85,127.05,6425100,115.0615
2016-04-19,124.95,125.475,121.80,122.325,1297000,110.7823
2016-04-18,120.75,124.95,119.70,124.425,2112600,112.6842
2016-04-15,121.275,121.80,119.70,120.75,674700,109.356
2016-04-14,122.325,122.85,120.225,120.225,917000,108.8805
2016-04-13,118.65,121.275,117.60,120.75,1095300,109.356
2016-04-12,123.90,124.425,114.45,117.60,2592000,106.5032
